annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 28 February 2020],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Oct 2018-Sep 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parliamentary constituency 2010,mnemonic,Numerator,Denominator,"% all in employment who are - 1: managers, directors and senior officials (SOC2010)",Conf,Numerator,Denominator,% all in employment who are - 2: professional occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 3: associate prof & tech occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 4: administrative and secretarial occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 5: skilled trades occupations (SOC2010),Conf,Numerator,Denominator,"% all in employment who are - 6: caring, leisure and other service occupations (SOC2010)",Conf,Numerator,Denominator,% all in employment who are - 7: sales and customer service occupations (SOC2010),Conf,Numerator,Denominator,"% all in employment who are - 8: process, plant and machine operatives (SOC2010)",Conf
Heywood and Middleton,E14000747,3700,48400,7.7,2.8,8800,48400,18.2,4.1,5900,48400,12.2,3.4,3400,48400,7,2.7,4700,48400,9.7,3.1,5200,48400,10.7,3.3,4300,48400,8.8,3,3700,48400,7.5,2.8
Hyndburn,E14000758,4500,42700,10.4,*,3700,42700,8.7,*,6100,42700,14.4,7.4,3500,42700,8.2,*,5800,42700,13.7,7.3,5200,42700,12.2,6.9,5300,42700,12.4,*,3600,42700,8.4,*
Knowsley,E14000775,3400,47600,7.1,2.6,4900,47600,10.2,3.1,5900,47600,12.4,3.3,5100,47600,10.7,3.1,6300,47600,13.2,3.4,5900,47600,12.5,3.3,5500,47600,11.5,3.2,4400,47600,9.2,2.9
Lancaster and Fleetwood,E14000776,4400,41800,10.6,6.1,9100,41800,21.8,8.3,5700,41800,13.7,6.9,3800,41800,9.2,*,5100,41800,12.3,6.6,5400,41800,13,6.7,4400,41800,10.6,6.2,1600,41800,3.7,*
Leigh,E14000785,6300,54700,11.4,4.2,8400,54700,15.3,4.8,7200,54700,13.2,4.5,5100,54700,9.3,3.9,6800,54700,12.4,4.4,6900,54700,12.5,4.4,3300,54700,6.1,3.2,4600,54700,8.4,3.7
"Liverpool, Riverside",E14000793,5600,61800,9.1,4.5,17800,61800,28.9,7.2,12200,61800,19.8,6.3,5100,61800,8.3,4.4,3600,61800,5.8,*,3800,61800,6.2,3.8,4200,61800,6.9,4,2100,61800,3.4,*
"Liverpool, Walton",E14000794,1600,31800,5.1,*,2900,31800,9.2,*,3800,31800,12.1,6.9,6200,31800,19.4,8.4,2000,31800,6.1,*,2800,31800,8.9,*,2000,31800,6.4,*,2500,31800,7.7,*
"Liverpool, Wavertree",E14000795,#,42300,2.8,*,13400,42300,31.6,8.6,8800,42300,20.8,7.5,4000,42300,9.4,5.4,3200,42300,7.6,*,4000,42300,9.5,5.4,4400,42300,10.3,5.6,1500,42300,3.5,*
"Liverpool, West Derby",E14000796,2400,46300,5.2,*,9100,46300,19.7,7.1,8600,46300,18.6,6.9,3700,46300,8.1,4.8,5900,46300,12.7,5.9,4500,46300,9.6,5.2,3500,46300,7.6,*,3300,46300,7.1,*
Macclesfield,E14000802,6000,50400,12,6.2,6800,50400,13.4,6.5,8600,50400,17.1,7.1,7000,50400,13.8,6.5,2800,50400,5.5,*,6600,50400,13,6.4,6900,50400,13.7,6.5,1300,50400,2.6,*
Makerfield,E14000805,2400,51700,4.7,2.9,10900,51700,21.2,5.6,5000,51700,9.7,4,5400,51700,10.5,4.2,5900,51700,11.4,4.3,5600,51700,10.8,4.2,2800,51700,5.3,3.1,6000,51700,11.7,4.4
Manchester Central,E14000807,4600,56500,8.1,*,15000,56500,26.6,7.5,5900,56500,10.4,5.2,5500,56500,9.7,5,3300,56500,5.9,*,5400,56500,9.5,5,5800,56500,10.2,5.1,2800,56500,4.9,*
"Manchester, Gorton",E14000808,4700,56500,8.3,4.6,15800,56500,28,7.5,9500,56500,16.8,6.3,5100,56500,9,4.8,2300,56500,4.1,*,4400,56500,7.8,4.5,5000,56500,8.8,4.8,2500,56500,4.4,*
"Manchester, Withington",E14000809,6300,68000,9.3,4.4,27600,68000,40.7,7.5,9700,68000,14.3,5.4,5200,68000,7.6,4.1,2700,68000,4,*,2800,68000,4.2,*,4000,68000,5.9,3.6,1500,68000,2.2,*
Morecambe and Lunesdale,E14000825,4400,42100,10.4,6,5600,42100,13.2,6.7,4700,42100,11.2,6.2,3700,42100,8.8,*,7400,42100,17.7,7.6,6000,42100,14.2,6.9,2800,42100,6.7,*,3200,42100,7.6,*
Oldham East and Saddleworth,E14000870,2900,45000,6.5,2.9,8000,45000,17.7,4.5,7500,45000,16.7,4.4,4300,45000,9.5,3.5,5100,45000,11.3,3.7,4000,45000,8.9,3.4,3100,45000,6.9,3,3800,45000,8.4,3.3
Oldham West and Royton,E14000871,3100,47500,6.6,2.9,7400,47500,15.6,4.2,5400,47500,11.3,3.7,5200,47500,10.9,3.6,5300,47500,11.2,3.7,5200,47500,11,3.6,4900,47500,10.3,3.5,4400,47500,9.3,3.4
Pendle,E14000875,3900,39200,9.9,*,8200,39200,21,8.6,3000,39200,7.6,*,2200,39200,5.6,*,7200,39200,18.4,8.1,3800,39200,9.6,*,3900,39200,9.9,*,3900,39200,10,*
Penrith and The Border,E14000877,5700,38300,14.9,6.2,5000,38300,13,5.8,3500,38300,9.1,5,3800,38300,10,5.2,6900,38300,17.9,6.7,2900,38300,7.5,4.6,1900,38300,5,*,3700,38300,9.8,5.2
Preston,E14000885,3000,44300,6.7,*,3300,44300,7.4,*,5700,44300,12.8,*,5600,44300,12.5,*,4600,44300,10.3,*,4500,44300,10.2,*,7200,44300,16.2,8.6,4000,44300,8.9,*
Ribble Valley,E14000894,6200,50500,12.3,6,11000,50500,21.7,7.6,7100,50500,14.1,6.4,8100,50500,16.1,6.7,4700,50500,9.3,5.3,5400,50500,10.7,5.7,3400,50500,6.7,*,2900,50500,5.7,*
Rochdale,E14000897,3100,46100,6.8,2.7,9000,46100,19.4,4.3,6400,46100,13.8,3.8,4100,46100,8.8,3.1,4800,46100,10.5,3.3,4400,46100,9.5,3.2,3200,46100,6.9,2.8,4200,46100,9,3.1
Rossendale and Darwen,E14000902,5100,51300,9.9,3.2,7300,51300,14.3,3.8,7500,51300,14.7,3.8,6000,51300,11.7,3.5,6300,51300,12.2,3.5,6400,51300,12.6,3.6,3600,51300,7.1,2.8,3500,51300,6.8,2.7
Salford and Eccles,E14000911,3700,56400,6.6,2.9,7500,56400,13.3,3.9,12000,56400,21.2,4.7,5300,56400,9.5,3.4,4400,56400,7.8,3.1,4600,56400,8.2,3.2,6200,56400,10.9,3.6,3600,56400,6.4,2.8
Sefton Central,E14000916,4100,41100,9.9,4.2,8700,41100,21.1,5.7,6000,41100,14.6,4.9,5900,41100,14.3,4.9,5100,41100,12.4,4.6,3600,41100,8.8,3.9,2300,41100,5.5,3.2,1400,41100,3.4,*
South Ribble,E14000943,3100,49500,6.2,*,7600,49500,15.3,6.8,8200,49500,16.6,7,6500,49500,13.1,6.3,4900,49500,9.9,5.6,7800,49500,15.7,6.8,1900,49500,3.8,*,3500,49500,7.1,*
Southport,E14000958,5300,48400,11,4.1,8800,48400,18.2,5,5200,48400,10.9,4,4700,48400,9.8,3.9,4200,48400,8.7,3.7,7500,48400,15.5,4.7,4200,48400,8.6,3.6,2400,48400,5,2.8
St Helens North,E14000962,3800,46900,8.1,2.9,9400,46900,20.1,4.3,5600,46900,11.9,3.5,5000,46900,10.6,3.3,4700,46900,10.1,3.3,4400,46900,9.4,3.2,3100,46900,6.7,2.7,5500,46900,11.7,3.5
St Helens South and Whiston,E14000963,4200,50400,8.4,2.9,10500,50400,20.7,4.2,4600,50400,9.1,3,6700,50400,13.4,3.5,4400,50400,8.8,2.9,5800,50400,11.5,3.3,4000,50400,8,2.8,3400,50400,6.7,2.6
Stalybridge and Hyde,E14000967,3400,42500,7.9,3.3,7500,42500,17.6,4.6,7900,42500,18.5,4.7,5300,42500,12.4,4,5300,42500,12.5,4,3100,42500,7.3,3.1,2600,42500,6,2.9,3100,42500,7.2,3.1
Stockport,E14000969,7000,43000,16.3,5.6,8400,43000,19.5,6,4600,43000,10.7,4.6,3300,43000,7.8,4,3600,43000,8.5,4.2,4500,43000,10.6,4.6,4300,43000,10.1,4.5,2500,43000,5.9,3.5
Stretford and Urmston,E14000979,3700,46300,8,3.2,12200,46300,26.3,5.3,6800,46300,14.7,4.2,6100,46300,13.1,4,3000,46300,6.4,2.9,3800,46300,8.3,3.3,4300,46300,9.2,3.5,2400,46300,5.2,2.7
Tatton,E14000987,9700,38700,25,9.3,10400,38700,26.8,9.5,4500,38700,11.5,6.9,2100,38700,5.3,*,2700,38700,7.1,*,2200,38700,5.8,*,1500,38700,3.8,*,2500,38700,6.3,*
Wallasey,E14001010,4100,44700,9.3,4.1,8000,44700,17.8,5.5,5300,44700,11.9,4.6,4600,44700,10.2,4.3,4300,44700,9.6,4.2,4800,44700,10.7,4.4,5600,44700,12.6,4.7,2600,44700,5.7,3.3
