annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 28 February 2020],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Oct 2018-Sep 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parliamentary constituency 2010,mnemonic,Numerator,Denominator,"% all in employment who are - 1: managers, directors and senior officials (SOC2010)",Conf,Numerator,Denominator,% all in employment who are - 2: professional occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 3: associate prof & tech occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 4: administrative and secretarial occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 5: skilled trades occupations (SOC2010),Conf,Numerator,Denominator,"% all in employment who are - 6: caring, leisure and other service occupations (SOC2010)",Conf,Numerator,Denominator,% all in employment who are - 7: sales and customer service occupations (SOC2010),Conf,Numerator,Denominator,"% all in employment who are - 8: process, plant and machine operatives (SOC2010)",Conf
Aldridge-Brownhills,E14000531,6300,45500,13.9,4.4,8300,45500,18.2,4.9,8600,45500,18.9,5,4300,45500,9.4,3.7,6000,45500,13.1,4.3,4900,45500,10.7,4,3600,45500,8,3.5,1800,45500,3.9,2.5
"Birmingham, Edgbaston",E14000560,5000,54400,9.3,5.6,14300,54400,26.2,8.5,11400,54400,21,7.9,4500,54400,8.3,5.3,5100,54400,9.3,*,4800,54400,8.8,5.5,1800,54400,3.3,*,1800,54400,3.4,*
"Birmingham, Erdington",E14000561,2100,46900,4.4,*,6200,46900,13.2,7,4800,46900,10.1,*,3800,46900,8,*,5900,46900,12.5,6.8,6000,46900,12.7,6.9,2900,46900,6.2,*,9300,46900,19.9,8.2
"Birmingham, Hall Green",E14000562,3800,52500,7.3,*,16000,52500,30.6,9.2,5700,52500,10.9,6.2,2500,52500,4.8,*,3200,52500,6.1,*,3200,52500,6.1,*,7200,52500,13.7,6.8,2000,52500,3.7,*
"Birmingham, Hodge Hill",E14000563,4100,43700,9.4,*,6700,43700,15.4,7.9,3700,43700,8.5,*,5700,43700,13,7.4,3400,43700,7.9,*,!,43700,!,!,4200,43700,9.7,*,6700,43700,15.4,7.9
"Birmingham, Ladywood",E14000564,2200,47300,4.7,*,9900,47300,20.9,8.7,6200,47300,13.1,7.2,3300,47300,7,*,3200,47300,6.7,*,4300,47300,9.2,*,2300,47300,5,*,5400,47300,11.4,6.8
"Birmingham, Northfield",E14000565,1700,38700,4.3,*,7300,38700,19,8.9,3900,38700,10,*,3600,38700,9.4,*,4900,38700,12.6,*,6100,38700,15.9,8.3,3700,38700,9.6,*,2100,38700,5.4,*
"Birmingham, Perry Barr",E14000566,2700,53400,5,*,6600,53400,12.3,6.4,6200,53400,11.5,6.2,9100,53400,17.1,7.3,4500,53400,8.5,*,1800,53400,3.3,*,3900,53400,7.2,*,9600,53400,18,7.5
"Birmingham, Selly Oak",E14000567,4000,49400,8,*,13000,49400,26.4,8.8,8400,49400,16.9,7.5,7000,49400,14.1,7,3600,49400,7.2,*,5300,49400,10.6,6.2,2200,49400,4.5,*,1900,49400,3.9,*
"Birmingham, Yardley",E14000568,3700,51300,7.2,*,9200,51300,17.9,7.6,6300,51300,12.4,6.5,7400,51300,14.4,7,4400,51300,8.5,*,2500,51300,5,*,4500,51300,8.8,*,5200,51300,10.1,6
Bromsgrove,E14000605,7200,47500,15.1,6.1,11700,47500,24.6,7.4,8300,47500,17.5,6.5,4400,47500,9.2,4.9,5700,47500,12,5.6,3200,47500,6.7,*,3500,47500,7.5,*,!,47500,!,!
Burton,E14000610,7100,53200,13.4,5.8,6900,53200,13,5.8,5200,53200,9.8,5.1,5500,53200,10.4,5.3,5600,53200,10.6,5.3,5000,53200,9.4,5,4600,53200,8.7,4.8,5500,53200,10.3,5.2
Cannock Chase,E14000618,4800,51100,9.3,*,12000,51100,23.4,9.2,9300,51100,18.2,8.3,5300,51100,10.4,6.6,6900,51100,13.5,7.4,1400,51100,2.8,*,2800,51100,5.6,*,5500,51100,10.7,*
Coventry North East,E14000649,3900,67800,5.7,2.8,14200,67800,21,5,5700,67800,8.4,3.4,7900,67800,11.7,3.9,6800,67800,10.1,3.7,6300,67800,9.2,3.5,6900,67800,10.1,3.7,6300,67800,9.3,3.6
Coventry North West,E14000650,5400,65800,8.2,3.4,14300,65800,21.7,5.1,8800,65800,13.4,4.2,8800,65800,13.4,4.2,6800,65800,10.3,3.8,6700,65800,10.2,3.8,3000,65800,4.5,2.6,3500,65800,5.3,2.8
Coventry South,E14000651,4700,47100,10,4.4,11600,47100,24.7,6.3,7800,47100,16.6,5.4,4900,47100,10.5,4.5,3500,47100,7.3,3.8,2700,47100,5.7,3.4,3300,47100,7,3.7,3100,47100,6.6,3.6
Dudley North,E14000671,3100,31600,9.8,5.2,5200,31600,16.4,6.5,3000,31600,9.6,5.2,3500,31600,11.2,5.5,4900,31600,15.5,6.4,2800,31600,8.8,5,1200,31600,3.9,*,3300,31600,10.5,5.4
Dudley South,E14000672,3200,36800,8.6,4.5,5200,36800,14,5.6,3300,36800,8.9,4.6,5400,36800,14.6,5.7,5300,36800,14.3,5.7,3400,36800,9.4,4.7,2400,36800,6.6,4,1600,36800,4.4,*
Halesowen and Rowley Regis,E14000722,5000,45600,10.9,4.4,5800,45600,12.7,4.7,7400,45600,16.1,5.2,7300,45600,16,5.2,5600,45600,12.4,4.6,3300,45600,7.2,3.6,2000,45600,4.5,*,2300,45600,5.1,3.1
Hereford and South Herefordshire,E14000743,5500,49400,11.1,3.2,7600,49400,15.3,3.6,7400,49400,15,3.6,4000,49400,8,2.7,5300,49400,10.7,3.1,5200,49400,10.6,3.1,3800,49400,7.7,2.7,4000,49400,8,2.7
Kenilworth and Southam,E14000767,8200,47200,17.4,6.7,12800,47200,27.2,7.8,8200,47200,17.3,6.6,3200,47200,6.7,*,3400,47200,7.2,*,4200,47200,8.9,5,2000,47200,4.2,*,1300,47200,2.8,*
Lichfield,E14000791,9100,48700,18.6,7.5,12600,48700,25.9,8.5,8400,48700,17.3,7.3,2800,48700,5.7,*,4700,48700,9.6,5.7,2800,48700,5.8,*,4200,48700,8.6,*,1400,48700,2.9,*
Ludlow,E14000799,7900,40100,19.7,5.7,6800,40100,16.9,5.4,3800,40100,9.4,4.2,3800,40100,9.6,4.2,7800,40100,19.4,5.7,3300,40100,8.4,4,900,40100,2.3,*,1700,40100,4.3,*
Meriden,E14000812,6800,56100,12.1,3.2,14000,56100,24.9,4.3,7000,56100,12.5,3.3,7600,56100,13.5,3.4,5200,56100,9.3,2.9,4400,56100,7.9,2.7,3700,56100,6.6,2.5,3500,56100,6.3,2.4
Mid Worcestershire,E14000818,9300,54100,17.2,6.5,7500,54100,13.8,6,7800,54100,14.3,6,5200,54100,9.5,5.1,6000,54100,11.1,5.4,4500,54100,8.3,4.8,3300,54100,6.2,*,3600,54100,6.6,*
Newcastle-under-Lyme,E14000834,5000,40400,12.4,*,8700,40400,21.4,9.4,6700,40400,16.5,8.5,2300,40400,5.6,*,5000,40400,12.4,*,2800,40400,6.8,*,2800,40400,7,*,2700,40400,6.6,*
North Herefordshire,E14000847,6200,48200,12.9,3.4,7700,48200,16.1,3.7,6800,48200,14.1,3.5,5700,48200,11.9,3.3,9300,48200,19.3,4,3700,48200,7.6,2.7,2000,48200,4.2,2,2500,48200,5.2,2.2
North Shropshire,E14000849,8000,54800,14.7,4.3,10000,54800,18.2,4.7,7000,54800,12.8,4.1,5300,54800,9.7,3.6,7200,54800,13.2,4.1,5500,54800,10,3.7,3400,54800,6.2,2.9,3300,54800,6.1,2.9
North Warwickshire,E14000854,5500,54000,10.3,5.3,7600,54000,14.1,6.1,8000,54000,14.8,6.2,6800,54000,12.5,5.8,8100,54000,15,6.3,5000,54000,9.3,5.1,3800,54000,7.1,*,2600,54000,4.9,*
Nuneaton,E14000868,4400,39900,11.1,6.4,8300,39900,20.9,8.3,6300,39900,15.8,7.5,2400,39900,6.1,*,4100,39900,10.2,*,2000,39900,5.1,*,3000,39900,7.5,*,2200,39900,5.5,*
Redditch,E14000892,6800,45600,15,6,6800,45600,14.9,6,7100,45600,15.6,6.1,4300,45600,9.5,5,5500,45600,12,5.5,3900,45600,8.5,4.7,3800,45600,8.4,4.7,2100,45600,4.6,*
Rugby,E14000905,4800,52000,9.2,5,8800,52000,16.9,6.4,7400,52000,14.2,6,5900,52000,11.3,5.4,5600,52000,10.7,5.3,3200,52000,6.2,*,3500,52000,6.7,*,3100,52000,5.9,*
Shrewsbury and Atcham,E14000926,7000,53400,13,4,10500,53400,19.7,4.8,6700,53400,12.5,4,5700,53400,10.7,3.7,5700,53400,10.7,3.7,6300,53400,11.8,3.9,4100,53400,7.7,3.2,2900,53400,5.3,2.7
Solihull,E14000931,6300,48100,13.1,3.6,12300,48100,25.6,4.6,7700,48100,16.1,3.9,5800,48100,12.1,3.4,3900,48100,8.2,2.9,2800,48100,5.8,2.5,4100,48100,8.5,2.9,1700,48100,3.6,2
South Staffordshire,E14000945,8500,52500,16.2,7.4,9400,52500,18,7.7,10100,52500,19.3,7.9,3600,52500,6.9,*,4500,52500,8.6,*,5200,52500,9.9,*,5300,52500,10.1,*,2100,52500,4.1,*
Stafford,E14000965,5100,46500,10.9,6.5,14000,46500,30.1,9.5,4900,46500,10.6,6.4,3600,46500,7.7,*,6700,46500,14.4,7.3,3900,46500,8.3,*,1700,46500,3.6,*,3500,46500,7.4,*
Staffordshire Moorlands,E14000966,4400,45300,9.7,*,5800,45300,12.7,6.7,6500,45300,14.4,7,4400,45300,9.7,5.9,7400,45300,16.2,7.4,4800,45300,10.6,6.2,3500,45300,7.7,*,2600,45300,5.7,*
Stoke-on-Trent Central,E14000972,1700,37100,4.7,2.8,5800,37100,15.6,4.8,5000,37100,13.4,4.5,3000,37100,8.2,3.6,3900,37100,10.7,4.1,4800,37100,13,4.4,2800,37100,7.7,3.5,3000,37100,8,3.6
Stoke-on-Trent North,E14000973,4500,43800,10.4,3.9,3500,43800,8,3.5,4700,43800,10.8,4,3800,43800,8.7,3.6,5100,43800,11.5,4.1,6300,43800,14.4,4.5,3700,43800,8.4,3.6,5000,43800,11.4,4.1
Stoke-on-Trent South,E14000974,2300,42900,5.4,2.8,5900,42900,13.8,4.2,6200,42900,14.4,4.3,2700,42900,6.2,3,7400,42900,17.2,4.6,3400,42900,7.9,3.3,4500,42900,10.4,3.7,5800,42900,13.5,4.2
Stone,E14000975,6200,39800,15.7,8.1,11800,39800,29.7,10.2,5600,39800,14.2,7.8,2500,39800,6.2,*,2700,39800,6.7,*,3800,39800,9.4,*,!,39800,!,!,4000,39800,10.1,*
Stourbridge,E14000976,4900,38600,12.7,5.2,8300,38600,21.5,6.4,6500,38600,16.9,5.8,2800,38600,7.3,4,4900,38600,12.7,5.2,3500,38600,9,4.4,2800,38600,7.3,4,2300,38600,5.9,3.6
Stratford-on-Avon,E14000977,7300,44800,16.2,6.5,7300,44800,16.3,6.5,5300,44800,11.7,5.7,5700,44800,12.7,5.9,4200,44800,9.3,5.1,4100,44800,9.2,5.1,1900,44800,4.1,*,2200,44800,4.9,*
Sutton Coldfield,E14000985,6500,53500,12.1,6.1,15200,53500,28.4,8.5,10300,53500,19.3,7.4,7900,53500,14.8,6.7,!,53500,!,!,2400,53500,4.5,*,2500,53500,4.7,*,3000,53500,5.6,*
Tamworth,E14000986,4300,50600,8.4,5.2,9900,50600,19.6,7.4,7800,50600,15.4,6.7,5400,50600,10.7,5.8,6800,50600,13.5,6.4,2800,50600,5.6,*,4400,50600,8.7,5.3,2800,50600,5.6,*
Telford,E14000989,3900,48500,8,2.7,7800,48500,16.2,3.7,7100,48500,14.7,3.6,4800,48500,9.9,3,6100,48500,12.6,3.3,5500,48500,11.4,3.2,2700,48500,5.6,2.3,4000,48500,8.3,2.8
The Wrekin,E14000992,4800,44700,10.8,3.4,9200,44700,20.6,4.4,6400,44700,14.2,3.8,4000,44700,9,3.1,4400,44700,9.9,3.2,3500,44700,7.8,2.9,3400,44700,7.5,2.9,3700,44700,8.2,3
Walsall North,E14001011,2800,35900,7.8,3.9,2700,35900,7.7,3.9,5700,35900,16,5.3,4800,35900,13.4,5,4300,35900,11.9,4.7,4200,35900,11.7,4.7,2500,35900,7,3.7,4000,35900,11,4.6
Walsall South,E14001012,3400,42200,8.1,3.7,8000,42200,18.8,5.3,3800,42200,8.9,3.8,5200,42200,12.2,4.4,5200,42200,12.4,4.4,4600,42200,10.9,4.2,2700,42200,6.5,3.3,4600,42200,10.8,4.2
Warley,E14001016,1900,45400,4.2,*,8600,45400,19,5.4,3900,45400,8.7,3.9,4300,45400,9.5,4,6600,45400,14.6,4.9,4400,45400,9.6,4,2300,45400,5.1,3,5200,45400,11.5,4.4
Warwick and Leamington,E14001019,4200,49100,8.6,4.8,16500,49100,33.6,8.1,5400,49100,11.1,5.3,5600,49100,11.4,5.4,4600,49100,9.4,5,2300,49100,4.7,*,4100,49100,8.4,4.7,1900,49100,3.8,*
West Bromwich East,E14001029,1600,41400,3.9,*,4700,41400,11.4,4.6,4700,41400,11.4,4.6,4000,41400,9.5,4.2,5900,41400,14.2,5,4600,41400,11,4.5,4500,41400,10.9,4.5,5200,41400,12.4,4.8
West Bromwich West,E14001030,3600,41900,8.6,4,5100,41900,12.1,4.6,3400,41900,8.1,3.9,6200,41900,14.7,5,5300,41900,12.6,4.7,4000,41900,9.6,4.2,2700,41900,6.4,3.5,5200,41900,12.3,4.7
West Worcestershire,E14001035,4000,42100,9.5,5.6,11200,42100,26.5,8.4,6000,42100,14.3,6.7,3300,42100,7.8,*,7300,42100,17.3,7.2,4000,42100,9.5,5.6,2600,42100,6.2,*,1300,42100,3.1,*
Wolverhampton North East,E14001049,3300,42300,7.8,3.4,4600,42300,10.9,4,4000,42300,9.4,3.8,5400,42300,12.7,4.3,5400,42300,12.9,4.3,4900,42300,11.5,4.1,4000,42300,9.4,3.8,4800,42300,11.4,4.1
Wolverhampton South East,E14001050,3000,39100,7.7,3.6,3700,39100,9.5,4,3100,39100,8,3.7,5100,39100,13,4.6,5800,39100,14.8,4.9,2900,39100,7.5,3.6,2600,39100,6.7,3.4,6100,39100,15.5,4.9
Wolverhampton South West,E14001051,2200,38500,5.8,3.1,8300,38500,21.5,5.5,4500,38500,11.6,4.3,4800,38500,12.5,4.4,4000,38500,10.5,4.1,4300,38500,11,4.2,3100,38500,8.1,3.7,3300,38500,8.7,3.8
Worcester,E14001052,5400,56300,9.7,4.4,10200,56300,18,5.7,7800,56300,13.8,5.1,7500,56300,13.3,5,4200,56300,7.5,3.9,4000,56300,7.1,3.8,5900,56300,10.4,4.5,4500,56300,8,4
Wyre Forest,E14001058,4400,45400,9.6,5.3,7700,45400,17,6.8,5300,45400,11.7,5.8,7900,45400,17.4,6.8,5800,45400,12.7,6,2600,45400,5.7,*,3500,45400,7.8,*,2700,45400,5.9,*
Basildon and Billericay,E14000544,3900,46200,8.4,*,6500,46200,14.1,7.1,7800,46200,16.9,7.7,4300,46200,9.4,*,4700,46200,10.2,6.2,7300,46200,15.8,7.5,4100,46200,9,*,3100,46200,6.6,*
Bedford,E14000552,4700,53000,8.8,4.6,12400,53000,23.3,6.9,7800,53000,14.6,5.7,2500,53000,4.6,*,4500,53000,8.5,4.5,6000,53000,11.3,5.1,4000,53000,7.5,4.3,2700,53000,5.1,*
Braintree,E14000590,8900,47200,18.8,8,8400,47200,17.8,7.8,4600,47200,9.7,*,4000,47200,8.4,*,6800,47200,14.4,7.2,5100,47200,10.8,6.3,2500,47200,5.3,*,1700,47200,3.6,*
Brentwood and Ongar,E14000594,10400,46800,22.2,9.2,10000,46800,21.3,9.1,6400,46800,13.7,7.6,2700,46800,5.8,*,8300,46800,17.7,8.5,3400,46800,7.2,*,!,46800,!,!,3400,46800,7.2,*
Broadland,E14000603,3900,42000,9.2,*,6900,42000,16.5,7.8,4400,42000,10.4,6.4,3400,42000,8.2,*,5100,42000,12.2,6.8,6700,42000,16,7.7,5100,42000,12.1,6.8,4200,42000,10.1,*
Broxbourne,E14000606,6000,52300,11.6,6.6,11100,52300,21.2,8.5,6000,52300,11.5,6.6,7400,52300,14.1,7.2,6300,52300,12,6.8,2200,52300,4.3,*,4600,52300,8.8,*,3200,52300,6.2,*
Bury St Edmunds,E14000613,4700,59800,7.8,4.4,8500,59800,14.3,5.7,10900,59800,18.1,6.3,5800,59800,9.7,4.9,6000,59800,10,4.9,6400,59800,10.7,5.1,5200,59800,8.7,4.6,4300,59800,7.2,4.2
Cambridge,E14000617,4900,64900,7.5,4.3,28400,64900,43.8,8,9300,64900,14.4,5.7,3800,64900,5.8,3.8,2000,64900,3.1,*,3200,64900,4.9,*,6100,64900,9.4,4.7,!,64900,!,!
Castle Point,E14000622,4300,46900,9.1,*,7600,46900,16.2,8.2,5600,46900,12,7.3,7400,46900,15.8,8.1,7900,46900,16.9,8.4,2800,46900,6,*,!,46900,!,!,2200,46900,4.7,*
Central Suffolk and North Ipswich,E14000624,5800,51200,11.3,5.5,11000,51200,21.5,7.2,10000,51200,19.6,6.9,3600,51200,7.1,4.5,5000,51200,9.7,5.2,4900,51200,9.6,5.2,3700,51200,7.2,*,1600,51200,3.2,*
Chelmsford,E14000628,5200,51500,10,*,12500,51500,24.3,8.7,10700,51500,20.8,8.2,3700,51500,7.2,*,4100,51500,8,*,6400,51500,12.4,6.7,2100,51500,4.2,*,2000,51500,3.8,*
Clacton,E14000642,5700,31100,18.5,9.4,4500,31100,14.6,8.5,3400,31100,10.8,*,3200,31100,10.4,*,5600,31100,18.1,9.3,3200,31100,10.2,*,3300,31100,10.7,*,!,31100,!,!
Colchester,E14000644,8500,70200,12.1,5.1,13900,70200,19.8,6.2,9800,70200,13.9,5.4,6900,70200,9.9,4.6,5900,70200,8.4,4.3,8800,70200,12.5,5.1,2800,70200,4,*,6800,70200,9.7,4.6
Epping Forest,E14000693,9200,51000,18,7.8,14200,51000,27.9,9.1,4700,51000,9.2,*,6500,51000,12.7,6.8,5800,51000,11.3,6.4,2000,51000,4,*,2200,51000,4.4,*,3000,51000,5.8,*
Great Yarmouth,E14000717,3300,43500,7.7,*,2600,43500,6.1,*,4000,43500,9.3,*,6500,43500,14.9,8.1,4900,43500,11.2,*,3700,43500,8.5,*,5100,43500,11.7,*,3700,43500,8.4,*
Harlow,E14000729,4200,45600,9.2,5.5,8400,45600,18.5,7.4,6800,45600,15,6.8,4000,45600,8.8,5.4,4500,45600,9.8,*,3900,45600,8.5,5.3,2500,45600,5.4,*,6400,45600,14,6.6
Harwich and North Essex,E14000734,5400,46200,11.7,6.2,6900,46200,14.9,6.9,6300,46200,13.7,6.7,5600,46200,12.1,6.3,6100,46200,13.2,6.6,6700,46200,14.4,6.8,4400,46200,9.6,*,!,46200,!,!
Hemel Hempstead,E14000739,7800,56100,14,6.5,10000,56100,17.8,7.2,7000,56100,12.5,6.2,6600,56100,11.8,6,4500,56100,7.9,*,3500,56100,6.2,*,4500,56100,8.1,*,5400,56100,9.6,5.5
Hertford and Stortford,E14000744,8500,53000,16,6.6,14500,53000,27.4,8,8600,53000,16.2,6.6,3600,53000,6.7,4.5,4600,53000,8.6,5,4100,53000,7.7,*,2600,53000,5,*,3100,53000,5.9,*
Hertsmere,E14000745,6000,49800,12.1,*,10000,49800,20,10,5800,49800,11.6,*,5700,49800,11.5,*,9200,49800,18.4,9.7,2900,49800,5.9,*,4400,49800,8.8,*,!,49800,!,!
Hitchin and Harpenden,E14000749,9500,49500,19.1,7.6,11500,49500,23.2,8.1,10400,49500,20.9,7.8,5500,49500,11.1,6,3300,49500,6.8,*,3900,49500,7.8,*,1300,49500,2.6,*,2300,49500,4.7,*
Huntingdon,E14000757,8900,51800,17.2,6.9,10300,51800,19.8,7.3,8000,51800,15.5,6.6,4700,51800,9.1,5.2,5200,51800,10.1,5.5,4900,51800,9.5,5.3,3800,51800,7.3,*,2600,51800,5,*
Ipswich,E14000761,4700,54300,8.6,4.9,14400,54300,26.5,7.7,8900,54300,16.4,6.4,5500,54300,10,5.2,3300,54300,6.1,*,4800,54300,8.8,4.9,3800,54300,6.9,*,5300,54300,9.8,5.2
Luton North,E14000800,4500,48900,9.2,2.8,9000,48900,18.4,3.8,4300,48900,8.8,2.8,5400,48900,11.1,3.1,3500,48900,7.2,2.5,4100,48900,8.4,2.7,3500,48900,7.1,2.5,6900,48900,14.2,3.4
Luton South,E14000801,4100,55500,7.4,2.5,8300,55500,14.9,3.4,6800,55500,12.3,3.1,5300,55500,9.6,2.8,5400,55500,9.8,2.8,4100,55500,7.4,2.5,4300,55500,7.7,2.5,8300,55500,15,3.4
Maldon,E14000806,6700,49100,13.7,6.7,5400,49100,11,6.1,9000,49100,18.3,7.5,3800,49100,7.7,*,5000,49100,10.2,5.9,5200,49100,10.7,6,5800,49100,11.7,6.3,2300,49100,4.6,*
Mid Bedfordshire,E14000813,8200,61400,13.4,5.1,13500,61400,22.1,6.3,14600,61400,23.8,6.4,5300,61400,8.6,4.2,3100,61400,5,*,5400,61400,8.8,4.3,4100,61400,6.6,3.8,3200,61400,5.2,3.4
Mid Norfolk,E14000816,9500,58900,16.1,6.3,9700,58900,16.5,6.4,5300,58900,9.1,4.9,8000,58900,13.5,5.9,7700,58900,13.1,5.8,5300,58900,9,4.9,3700,58900,6.2,*,2800,58900,4.7,*
North East Bedfordshire,E14000841,7000,57800,12.1,5.1,15000,57800,26,6.8,12300,57800,21.4,6.4,4100,57800,7.1,4,5700,57800,9.8,4.6,5400,57800,9.4,4.5,2500,57800,4.4,*,1400,57800,2.5,*
North East Cambridgeshire,E14000842,5400,58900,9.2,5.3,6200,58900,10.6,5.6,6400,58900,10.9,5.7,5000,58900,8.5,5.1,8600,58900,14.6,6.4,7700,58900,13,6.1,3400,58900,5.7,*,6300,58900,10.7,5.6
North East Hertfordshire,E14000845,5900,51300,11.6,5.7,11700,51300,22.7,7.4,5600,51300,10.9,5.5,5200,51300,10.2,5.3,7900,51300,15.4,6.4,4900,51300,9.6,5.2,3300,51300,6.4,*,2900,51300,5.7,*
North Norfolk,E14000848,3700,36700,10.1,*,7600,36700,20.6,9.5,3500,36700,9.6,*,4300,36700,11.7,*,6600,36700,17.9,9.1,2600,36700,7,*,1700,36700,4.5,*,1500,36700,4.1,*
North West Cambridgeshire,E14000855,7600,79100,9.6,3.1,16300,79100,20.6,4.2,10200,79100,12.9,3.5,12000,79100,15.2,3.7,8400,79100,10.6,3.2,6300,79100,7.9,2.8,6000,79100,7.6,2.8,5100,79100,6.4,2.6
North West Norfolk,E14000859,3400,41500,8.2,*,8100,41500,19.5,7.7,8100,41500,19.5,7.7,1200,41500,2.8,*,4500,41500,10.7,6,4000,41500,9.7,5.7,3600,41500,8.6,*,3500,41500,8.5,*
Norwich North,E14000863,5700,51200,11.1,6.1,6700,51200,13,6.5,6400,51200,12.6,6.4,3000,51200,5.9,*,9700,51200,18.9,7.6,6100,51200,12,6.3,4100,51200,8.1,*,4300,51200,8.5,*
Norwich South,E14000864,5400,53300,10.2,5.7,13300,53300,24.9,8.1,7900,53300,14.8,6.7,4300,53300,8,5.1,3200,53300,5.9,*,4100,53300,7.6,*,4600,53300,8.7,5.3,2300,53300,4.3,*
Peterborough,E14000878,5000,53700,9.3,3.1,8700,53700,16.3,3.9,5800,53700,10.8,3.3,4100,53700,7.6,2.8,4400,53700,8.1,2.9,4300,53700,8,2.9,5100,53700,9.6,3.1,6500,53700,12.2,3.5
Rayleigh and Wickford,E14000888,6300,53200,11.9,6.3,12800,53200,24.1,8.4,9000,53200,17,7.4,6200,53200,11.7,6.3,6000,53200,11.3,6.2,1700,53200,3.3,*,2600,53200,4.9,*,3000,53200,5.6,*
Rochford and Southend East,E14000899,6100,47700,12.9,3.3,8400,47700,17.7,3.8,5800,47700,12.2,3.3,8600,47700,18,3.8,4600,47700,9.7,3,4300,47700,9,2.9,2600,47700,5.5,2.3,2900,47700,6.1,2.4
Saffron Walden,E14000910,11700,63500,18.5,7,14600,63500,23,7.6,10200,63500,16,6.6,5200,63500,8.3,5,5000,63500,7.9,4.9,5300,63500,8.3,5,5000,63500,7.9,*,!,63500,!,!
South Basildon and East Thurrock,E14000933,3500,50800,6.8,3.3,9800,50800,19.3,5.2,7100,50800,14,4.6,6400,50800,12.5,4.4,4300,50800,8.5,3.7,6600,50800,13,4.4,4400,50800,8.7,3.7,4100,50800,8,3.6
South Cambridgeshire,E14000934,9800,59000,16.6,6.1,21700,59000,36.8,8,5400,59000,9.1,4.7,4500,59000,7.6,4.4,4900,59000,8.4,4.6,4400,59000,7.5,4.3,2100,59000,3.6,*,1600,59000,2.8,*
South East Cambridgeshire,E14000937,8200,68600,12,5.2,19100,68600,27.9,7.2,7500,68600,11,5,5600,68600,8.2,4.4,7700,68600,11.2,5.1,7300,68600,10.6,4.9,5200,68600,7.6,4.3,3000,68600,4.4,*
South Norfolk,E14000941,6700,55000,12.1,5.8,8700,55000,15.9,6.5,7000,55000,12.8,5.9,10800,55000,19.6,7,5200,55000,9.4,5.2,5400,55000,9.9,5.3,4400,55000,7.9,4.8,4100,55000,7.5,*
South Suffolk,E14000946,5300,42400,12.6,6,9400,42400,22.1,7.6,3500,42400,8.2,5,4600,42400,10.8,5.6,6400,42400,15.2,6.5,2000,42400,4.8,*,4200,42400,10,5.5,2000,42400,4.7,*
South West Bedfordshire,E14000949,10000,58900,17,5.5,8500,58900,14.4,5.2,9900,58900,16.7,5.5,7500,58900,12.8,4.9,6800,58900,11.6,4.7,3500,58900,6,3.5,3900,58900,6.7,3.7,3500,58900,6,3.5
South West Hertfordshire,E14000951,12100,60300,20.1,7.9,17600,60300,29.2,8.9,7800,60300,12.9,6.6,3800,60300,6.4,*,5300,60300,8.7,*,4000,60300,6.7,*,!,60300,!,!,2800,60300,4.7,*
South West Norfolk,E14000952,4500,49500,9,5.3,6900,49500,13.9,6.4,6000,49500,12.2,6,7000,49500,14.2,6.4,4700,49500,9.5,5.4,4600,49500,9.3,5.3,2800,49500,5.6,*,5800,49500,11.7,5.9
Southend West,E14000957,7200,51400,14,3.1,11900,51400,23.1,3.7,9200,51400,18,3.4,5800,51400,11.4,2.8,4900,51400,9.5,2.6,3400,51400,6.6,2.2,3900,51400,7.7,2.4,2200,51400,4.3,1.8
St Albans,E14000960,4300,46200,9.3,*,17400,46200,37.7,11.4,8100,46200,17.4,9,5700,46200,12.3,*,!,46200,!,!,3100,46200,6.8,*,2500,46200,5.4,*,1800,46200,3.9,*
Stevenage,E14000968,5700,55700,10.2,5.4,9300,55700,16.7,6.6,10500,55700,18.9,7,3700,55700,6.7,*,6400,55700,11.4,5.7,6300,55700,11.3,5.6,4000,55700,7.2,*,2000,55700,3.6,*
Suffolk Coastal,E14000981,6400,50200,12.8,5.7,12000,50200,23.9,7.3,4900,50200,9.8,5.1,4700,50200,9.4,5,6700,50200,13.4,5.8,4900,50200,9.7,5.1,2000,50200,4,*,2500,50200,5,*
Thurrock,E14000995,7200,65900,11,2.7,11700,65900,17.7,3.3,6100,65900,9.3,2.5,9000,65900,13.7,3,7900,65900,11.9,2.8,5200,65900,7.9,2.4,6000,65900,9.1,2.5,7400,65900,11.3,2.8
Watford,E14001021,9000,65400,13.8,7.6,16800,65400,25.7,9.6,5700,65400,8.7,*,3700,65400,5.7,*,7600,65400,11.6,*,4400,65400,6.7,*,4900,65400,7.4,*,5800,65400,8.9,*
